0,	074,	奴隶劳工
1,	075,	自由民众
3,	071,	小潜艇
4,	073,	滑翔机
7,	064,	单桅帆船
10,	010,	拓荒者
11,	011,	工程师
13,	021,	特种兵
14,	030,	建设队
16,	017,	建城地
17,	041,	守城卫兵
20,	100,	蛮战士
21,	100,	弓兵
22,	100,	蛮战士
23,	100,	蛮战士
24,	101,	罗马军团
25,	101,	长矛手
26,	101,	方阵兵
27,	101,	箭手
30,	102,	守卫
31,	102,	守卫
32,	102,	守卫
33,	102,	守卫
34,	103,	火枪手
35,	103,	火枪手
36,	103,	火枪手
37,	103,	火枪手
40,	104,	步枪手
41,	104,	步枪手
42,	104,	步枪手
43,	104,	步枪手
44,	105,	步兵
45,	105,	步兵
46,	105,	步兵
47,	105,	步兵
50,	106,	陆战队
51,	106,	陆战队
52,	106,	陆战队
53,	106,	陆战队
54,	110,	装甲步兵
55,	110,	装甲步兵
56,	110,	装甲步兵
57,	110,	装甲步兵
60,	130,	骑兵
61,	130,	骑兵
62,	130,	骑兵
63,	130,	骑兵
64,	131, 	骑兵
65,	131,	骑兵
66,	131,	骑兵
67,	131,	骑兵
70,	132,	骑士
71,	132,	骑士
72,	132,	骑士
73,	132,	骑士
74,	133,	龙骑兵
75,	133,	龙骑兵
76,	133,	龙骑兵
77,	133,	龙骑兵
80,	134,	轻骑兵
81,	134,	轻骑兵
82,	134,	轻骑兵
83,	134,	轻骑兵
84,	135,	坦克
85,	135,	坦克
86,	135,	坦克
87,	135, 	坦克
90,	136,	装甲车
91,	136,	装甲车
92,	136,	装甲车
93,	136,	装甲车
100,	170,	投石车
101,	170,	攻城塔
102,	170,	弩炮
103,	170,	弩炮
104,	171,	加农炮
105,	171,	加农炮
106,	171,	加农炮
107,	171,	加农炮
110,	172,	榴弹炮
111,	172,	榴弹炮
112,	172,	榴弹炮
113,	172,	榴弹炮
114,	173,	火箭炮
115,	173,	火箭炮
116,	173,	火箭炮
117,	173,	火箭炮
120,	200,	帆船
121,	200,	帆船
122,	200,	帆船
123,	200,	帆船
124,	201,	大帆船
125,	201,	快速帆船
126,	201,	护卫舰
127,	201,	护卫舰
130,	202	铁甲舰
131,	202,	驱逐舰
132,	202,	巡洋舰
133,	202,	巡洋舰
134,	203,	导弹巡洋舰
135,	203,	战列舰
136,	203,	战列巡洋舰
137,	203,	战列舰
140,	210,	运输舰
141,	210,	运输舰
142,	210,	运输舰
143,	210,	运输舰
144,	220,	航母
145,	220,	航母
146,	220,	航母
147,	220,	航母
150,	240,	潜艇
151,	240,	潜艇
152,	240,	潜艇
153,	240,	潜艇
160,	300,	战斗机
161,	300,	战斗机
162,	300,	战斗机
163,	300,	战斗机
164,	301,	喷气战斗机
165,	301,	喷气战斗机
166,	301,	直升机
167,	301,	喷气战斗机
170,	310,	轰炸机
171,	310,	轰炸机
172,	310,	飞艇
173,	310,	轰炸机
174,	311,	现代轰炸机
175,	311,	现代轰炸机
176,	311,	现代轰炸机
177,	311,	现代轰炸机
