0,	074,	奴び勞工
1,	075,	自由民眾
3,	071,	小潛艇
4,	073,	滑翔机
7,	064,	單桅帆船
10,	010,	拓荒者
11,	011,	工程師
13,	021,	特种兵
14,	030,	建設隊
16,	017,	建城地
17,	041,	守城衛兵
20,	100,	蠻戰士
21,	100,	弓兵
22,	100,	蠻戰士
23,	100,	蠻戰士
24,	101,	羅馬軍團
25,	101,	長矛手
26,	101,	方陣兵
27,	101,	箭手
30,	102,	守衛
31,	102,	守衛
32,	102,	守衛
33,	102,	守衛
34,	103,	火槍手
35,	103,	火槍手
36,	103,	火槍手
37,	103,	火槍手
40,	104,	步槍手
41,	104,	步槍手
42,	104,	步槍手
43,	104,	步槍手
44,	105,	步兵
45,	105,	步兵
46,	105,	步兵
47,	105,	步兵
50,	106,	陸戰隊
51,	106,	陸戰隊
52,	106,	陸戰隊
53,	106,	陸戰隊
54,	110,	裝甲步兵
55,	110,	裝甲步兵
56,	110,	裝甲步兵
57,	110,	裝甲步兵
60,	130,	騎兵
61,	130,	騎兵
62,	130,	騎兵
63,	130,	騎兵
64,	131, 	騎兵
65,	131,	騎兵
66,	131,	騎兵
67,	131,	騎兵
70,	132,	騎士
71,	132,	騎士
72,	132,	騎士
73,	132,	騎士
74,	133,	龍騎兵
75,	133,	龍騎兵
76,	133,	龍騎兵
77,	133,	龍騎兵
80,	134,	輕騎兵
81,	134,	輕騎兵
82,	134,	輕騎兵
83,	134,	輕騎兵
84,	135,	坦克
85,	135,	坦克
86,	135,	坦克
87,	135, 	坦克
90,	136,	裝甲車
91,	136,	裝甲車
92,	136,	裝甲車
93,	136,	裝甲車
100,	170,	投石車
101,	170,	攻城塔
102,	170,	弩炮
103,	170,	弩炮
104,	171,	加農炮
105,	171,	加農炮
106,	171,	加農炮
107,	171,	加農炮
110,	172,	榴彈炮
111,	172,	榴彈炮
112,	172,	榴彈炮
113,	172,	榴彈炮
114,	173,	火箭炮
115,	173,	火箭炮
116,	173,	火箭炮
117,	173,	火箭炮
120,	200,	帆船
121,	200,	帆船
122,	200,	帆船
123,	200,	帆船
124,	201,	大帆船
125,	201,	快速帆船
126,	201,	護衛艦
127,	201,	護衛艦
130,	202	鐵甲艦
131,	202,	驅逐艦
132,	202,	巡洋艦
133,	202,	巡洋艦
134,	203,	導彈巡洋艦
135,	203,	戰列艦
136,	203,	戰列巡洋艦
137,	203,	戰列艦
140,	210,	運輸艦
141,	210,	運輸艦
142,	210,	運輸艦
143,	210,	運輸艦
144,	220,	航母
145,	220,	航母
146,	220,	航母
147,	220,	航母
150,	240,	潛艇
151,	240,	潛艇
152,	240,	潛艇
153,	240,	潛艇
160,	300,	戰斗机
161,	300,	戰斗机
162,	300,	戰斗机
163,	300,	戰斗机
164,	301,	噴气戰斗机
165,	301,	噴气戰斗机
166,	301,	直升机
167,	301,	噴气戰斗机
170,	310,	轟炸机
171,	310,	轟炸机
172,	310,	飛艇
173,	310,	轟炸机
174,	311,	現代轟炸机
175,	311,	現代轟炸机
176,	311,	現代轟炸机
177,	311,	現代轟炸机
